Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29 00:00:00-05:00,25.047174999079697,25.047174999079697,24.922562188139,25.029373168945312,1003200,0.0,0.0,0.0
1993-02-01 00:00:00-05:00,25.047175265974918,25.2073917388916,25.047175265974918,25.2073917388916,480500,0.0,0.0,0.0
1993-02-02 00:00:00-05:00,25.18959968841101,25.278608874589143,25.136194176704134,25.260807037353516,201300,0.0,0.0,0.0
1993-02-03 00:00:00-05:00,25.296398720149384,25.545624323303564,25.278596891352656,25.527822494506836,529400,0.0,0.0,0.0
1993-02-04 00:00:00-05:00,25.616837906837464,25.68804523944855,25.33200857639313,25.634639739990234,531500,0.0,0.0,0.0
1993-02-05 00:00:00-05:00,25.616844177246094,25.670249689776835,25.474429477164115,25.616844177246094,492100,0.0,0.0,0.0
1993-02-08 00:00:00-05:00,25.616844177246094,25.70585336479733,25.581240502225597,25.616844177246094,596100,0.0,0.0,0.0
1993-02-09 00:00:00-05:00,25.527821396012836,25.527821396012836,25.3854067717673,25.438812255859375,122100,0.0,0.0,0.0
1993-02-10 00:00:00-05:00,25.438824503676695,25.492230013481475,25.367617157270324,25.474428176879883,379600,0.0,0.0,0.0
1993-02-11 00:00:00-05:00,25.510024199399563,25.705844343288884,25.510024199399563,25.59903335571289,19500,0.0,0.0,0.0
1993-02-12 00:00:00-05:00,25.563424226029735,25.563424226029735,25.403207778930664,25.403207778930664,42500,0.0,0.0,0.0
1993-02-16 00:00:00-05:00,25.331993137307514,25.331993137307514,24.726731179002204,24.7623348236084,374800,0.0,0.0,0.0
1993-02-17 00:00:00-05:00,24.762350631274764,24.79795429860945,24.655539629270702,24.744548797607422,210900,0.0,0.0,0.0
1993-02-18 00:00:00-05:00,25.02936903841638,25.02936903841638,24.38850325933886,24.72673797607422,378100,0.0,0.0,0.0
1993-02-19 00:00:00-05:00,24.726746676813068,24.81575584411621,24.69114300989181,24.81575584411621,34900,0.0,0.0,0.0
1993-02-22 00:00:00-05:00,24.886949000655115,24.940354470613602,24.815741707377132,24.90475082397461,513600,0.0,0.0,0.0
1993-02-23 00:00:00-05:00,24.97597588524116,24.993777721224937,24.762353853435815,24.886966705322266,373700,0.0,0.0,0.0
1993-02-24 00:00:00-05:00,24.90476062338231,25.2073917388916,24.90476062338231,25.2073917388916,26300,0.0,0.0,0.0
1993-02-25 00:00:00-05:00,25.18959968841101,25.278608874589143,25.136194176704134,25.260807037353516,44500,0.0,0.0,0.0
1993-02-26 00:00:00-05:00,25.314209534700787,25.314209534700787,25.1717948537742,25.29640769958496,66200,0.0,0.0,0.0
1993-03-01 00:00:00-05:00,25.38540949313339,25.38540949313339,25.18958936380347,25.22519302368164,66500,0.0,0.0,0.0
1993-03-02 00:00:00-05:00,25.242996730459584,25.59903335571289,25.20739306793425,25.59903335571289,182400,0.0,0.0,0.0
1993-03-03 00:00:00-05:00,25.634629944354874,25.723639076106107,25.59902629165438,25.70583724975586,280100,0.0,0.0,0.0
1993-03-04 00:00:00-05:00,25.741441423846485,25.741441423846485,25.56342315673828,25.56342315673828,89500,0.0,0.0,0.0
1993-03-05 00:00:00-05:00,25.599038563627104,25.70584957293292,25.474425719436987,25.49222755432129,40000,0.0,0.0,0.0
1993-03-08 00:00:00-05:00,25.545610195952033,26.06186294555664,25.545610195952033,26.06186294555664,50800,0.0,0.0,0.0
1993-03-09 00:00:00-05:00,26.008469712987512,26.026271540306464,25.91946057639276,25.97286605834961,169300,0.0,0.0,0.0
1993-03-10 00:00:00-05:00,25.97287395127658,26.02627944946289,25.866062954903956,26.02627944946289,194400,0.0,0.0,0.0
1993-03-11 00:00:00-05:00,26.04407773979407,26.115285061023854,25.919464927641943,25.955068588256836,70900,0.0,0.0,0.0
1993-03-12 00:00:00-05:00,25.741451001712537,25.759252835047054,25.527829001698326,25.688045501708984,643600,0.0,0.0,0.0
1993-03-15 00:00:00-05:00,25.6702474370496,25.81266212463379,25.6702474370496,25.81266212463379,310800,0.0,0.0,0.0
1993-03-16 00:00:00-05:00,25.81266212463379,25.883869468425882,25.81266212463379,25.81266212463379,30800,0.0,0.0,0.0
1993-03-17 00:00:00-05:00,25.7770557707999,25.7770557707999,25.616839263937194,25.652442932128906,21800,0.0,0.0,0.0
1993-03-18 00:00:00-05:00,25.759256616789717,25.919473140321927,25.759256616789717,25.81266212463379,59300,0.0,0.0,0.0
1993-03-19 00:00:00-05:00,25.91667157953436,25.91667157953436,25.773584365844727,25.773584365844727,66900,0.213,0.0,0.0
1993-03-22 00:00:00-05:00,25.523208160293912,25.684181442313985,25.505322240069457,25.630523681640625,183400,0.0,0.0,0.0
1993-03-23 00:00:00-05:00,25.702038503290883,25.71992440343235,25.648380802866477,25.684152603149414,55200,0.0,0.0,0.0
1993-03-24 00:00:00-05:00,25.648380802866477,25.79146800399823,25.523179501876193,25.684152603149414,37200,0.0,0.0,0.0
1993-03-25 00:00:00-05:00,25.702045587189883,25.89879054297213,25.666273777047657,25.84513282775879,110100,0.0,0.0,0.0
1993-03-26 00:00:00-05:00,25.827246775457905,25.84513268042706,25.684159535704676,25.702045440673828,101500,0.0,0.0,0.0
1993-03-29 00:00:00-05:00,25.719925278355,25.934556087353787,25.719925278355,25.809354782104492,87100,0.0,0.0,0.0
1993-03-30 00:00:00-05:00,25.84515048292644,25.880922317504883,25.809378648347995,25.880922317504883,56000,0.0,0.0,0.0
1993-03-31 00:00:00-05:00,25.952441817002672,26.023985419530593,25.863012313842773,25.863012313842773,111600,0.0,0.0,0.0
1993-04-01 00:00:00-05:00,25.898785677823156,25.898785677823156,25.719926660711117,25.773584365844727,129500,0.0,0.0,0.0
1993-04-02 00:00:00-05:00,25.55895723306398,25.55895723306398,25.237010955810547,25.237010955810547,59400,0.0,0.0,0.0
1993-04-05 00:00:00-04:00,25.433751016140654,25.433751016140654,25.290663809298795,25.362207412719727,172200,0.0,0.0,0.0
1993-04-06 00:00:00-04:00,25.41585639915844,25.41585639915844,25.21911155722266,25.2906551361084,129700,0.0,0.0,0.0
1993-04-07 00:00:00-04:00,25.326450146277914,25.380107879638672,25.272792412917156,25.380107879638672,28000,0.0,0.0,0.0
1993-04-08 00:00:00-04:00,25.487407497225636,25.487407497225636,25.237004897252895,25.34432029724121,180800,0.0,0.0,0.0
1993-04-12 00:00:00-04:00,25.594730010858907,25.719931345642983,25.5589582009206,25.702045440673828,348500,0.0,0.0,0.0
1993-04-13 00:00:00-04:00,25.684170765346952,25.8451439804501,25.666284852557713,25.755714416503906,146100,0.0,0.0,0.0
1993-04-14 00:00:00-04:00,25.77359409624081,25.791480004704546,25.702050462385873,25.71993637084961,119600,0.0,0.0,0.0
1993-04-15 00:00:00-04:00,25.702050462385873,25.77359409624081,25.612620920067204,25.71993637084961,148600,0.0,0.0,0.0
1993-04-16 00:00:00-04:00,25.73782227931334,25.77359409624081,25.68416455392214,25.71993637084961,47900,0.0,0.0,0.0
1993-04-19 00:00:00-04:00,25.71993101375729,25.791474632710717,25.59472968058879,25.61261558532715,157000,0.0,0.0,0.0
1993-04-20 00:00:00-04:00,25.57684292709618,25.612614735385826,25.326440269068666,25.48741340637207,279500,0.0,0.0,0.0
1993-04-21 00:00:00-04:00,25.541077554895637,25.541077554895637,25.397990285680535,25.469533920288086,67900,0.0,0.0,0.0
1993-04-22 00:00:00-04:00,25.362217719999183,25.576848617488597,25.147586822509766,25.147586822509766,97700,0.0,0.0,0.0
1993-04-23 00:00:00-04:00,25.093927572795323,25.165471200942996,25.004498037610738,25.04026985168457,106000,0.0,0.0,0.0
1993-04-26 00:00:00-04:00,25.058153893983647,25.147583422513208,24.771979402689045,24.843523025512695,62600,0.0,0.0,0.0
1993-04-27 00:00:00-04:00,24.807754066934613,25.111814498901367,24.807754066934613,25.111814498901367,156800,0.0,0.0,0.0
1993-04-28 00:00:00-04:00,25.076039057642458,25.129696773172363,25.022381342112553,25.05815315246582,85900,0.0,0.0,0.0
